Golfer,D,G,P,S,Avg
Steve Elkington ,285.4,66.4,0.3,60.3,71.6
Will Strickler ,304.1,62.1,0.3,54.2,72.2
Joe Durant ,283.6,71.3,-0.8,59.1,71.4
Jim Renner ,296.8,65,0.2,58.2,71.4
Woody Austin ,287.6,66.9,-0.1,63.9,70.9
Daniel Summerhays ,284.9,63.2,-0.3,55.1,72.5
Jim Herman ,301.7,67.9,-0.4,56.5,71.4
Derek Lamely ,297.9,62.9,-0.3,50.8,72.6
Roland Thatcher ,293.1,64.3,0.2,58,71.5
Martin Piller ,292.2,61,0.1,52.7,72.5
Michael Thompson ,291,65.3,0.5,60.8,70.9
Jason Bohn ,284.9,67.3,0,58.3,71.3
Bill Lunde ,291.5,69.4,0,56.7,71.1
William McGirt ,289.9,68.6,0.2,59.8,70.7
Troy Merritt ,286.8,64.1,-0.3,56.4,72.1
Shaun Micheel ,286.1,63,0.2,58.6,71.7
Rod Pampling ,291.6,65.9,0,63.1,70.8
David Hearn ,290.9,68.8,0.2,59.5,70.7
J.P. Hayes ,282.7,61.5,0.1,58.3,72.1
Matt McQuillan ,285.4,62.6,0.5,57.6,71.6
Alexandre Rocha ,290.9,68.2,0,55.2,71.3
Joseph Bramlett ,295.6,65.2,-0.5,56.5,71.7
Rich Beem ,286.1,62,-0.5,52.9,72.8
Paul Stankowski ,283.9,65.2,0.4,59.4,71.2
Scott Piercy ,305.4,65.8,0.2,57.6,70.8
Billy Horschel ,291,67.1,0,54,71.5
Blake Adams ,292.1,65.5,0.5,60.6,70.7
Michael Putnam ,297.2,64.4,0.5,58.2,71
Hunter Haas ,288.5,66.2,0.4,59.9,70.8
Nate Smith ,281.2,61.6,0.3,58.1,71.8
Cameron Tringale ,294.3,67.3,0.2,57.7,70.8
Billy Mayfair ,283.3,68.8,-0.2,60.9,70.8
Rocco Mediate ,275.5,62.2,-0.6,51.8,73
Stephen Ames ,283.8,65.3,0,60.6,71.1
Tag Ridings ,303.3,63.6,0.1,55.4,71.3
Briny Baird ,289.1,69.1,0.1,60,70.4
Dean Wilson ,276.8,62.6,0.5,61.6,71.2
Chris Couch ,296.8,65,0.3,60.9,70.6
Andres Gonzales ,293.1,64.4,0.2,52.9,71.6
Scott McCarron ,291.6,60.8,0.6,60.6,71.1
Charles Howell III ,297.3,68.9,0.4,63.9,69.7
Troy Matteson ,300.2,65.6,-0.1,55.6,71.2
Brandt Jobe ,298.5,69.2,0,58.7,70.3
Nathan Green ,285,62.3,0.1,60.9,71.3
Josh Teater ,302.3,66.9,-0.1,54.5,71.1
Mark Wilson ,284.8,66,0.2,63,70.5
James Driscoll ,298.5,63.5,0,56.9,71.3
Matt Jones ,293.9,62.4,0,57,71.5
John Merrick ,297.2,68.7,0.1,58,70.4
Padraig Harrington ,294.7,64.1,0.3,59.8,70.8
Bryce Molder ,282,65,0.7,62.5,70.4
D.J. Trahan ,298.6,69,-0.8,58.3,70.9
Michael Connell ,279.5,63.8,-0.1,60.8,71.3
Garrett Willis ,279.7,64.4,0,58.1,71.5
David Duval ,296.3,64.1,-0.4,52.7,71.9
Ben Curtis ,276.7,65.8,0.2,61.6,70.8
Kevin Streelman ,289.2,65.6,0.4,60.5,70.5
Jhonattan Vegas ,304.9,67.2,-0.3,54.7,71
Ben Martin ,289.5,64.8,0.4,52.9,71.4
Tim Petrovic ,280.5,62.2,0.2,60.5,71.3
J.J. Henry ,291.1,69,0.1,56,70.7
Bubba Watson ,314.9,69.8,-0.1,50.8,70.6
Jason Day ,302.6,64.9,0.6,64.6,69.7
Martin Laird ,303,66.6,0.1,59.1,70.3
Justin Leonard ,280.1,64.9,-0.1,62,71
Vaughn Taylor ,284.1,66,0.2,58.5,70.9
Tommy Gainey ,296.7,67,0.1,55.4,70.8
Pat Perez ,291.4,65.4,0.2,58.4,70.8
Chris Riley ,279.3,64.8,-0.3,61.6,71.1
Kevin Chappell ,295.8,64.9,-0.6,58.5,71.2
John Rollins ,296.7,69.1,-0.1,56.3,70.6
Zack Miller ,299.5,61.8,-0.4,54.3,71.9
Lee Janzen ,290.1,63.1,0.2,54.8,71.5
Scott Stallings ,303.7,66.6,-0.2,53.5,71
Ryan Palmer ,299.5,63.8,-0.1,60,70.9
Kris Blanks ,284.9,68.9,-0.5,57.9,71
Matt Bettencourt ,288.3,62.1,0.1,55,71.7
Boo Weekley ,296.6,71.7,-1.1,52.9,71.2
Steven Bowditch ,308.3,63.6,0.2,52.3,71.2
David Mathis ,282,64.3,0.2,60.8,70.9
Trevor Immelman ,288.5,68.1,0.3,58.1,70.4
Charley Hoffman ,299.8,66.8,-0.2,53.6,71.1
Charlie Wi ,285.8,63.7,0.7,58.9,70.8
