pitcherid,date,pitchno,pitchno^2,pitchno^3,pitchno,pitch_bucket,relspeed,Dependent Variable,Differential,spinrate,extension,horzbreak,inducedvertbreak,spinaxis,relheight,relside,platelocheight,platelocside
10005119,9/13/2024,1,1,1,21,FourSeamFastBall,88.56938,89.03973875,-0.362116481,1834.26891,6.42132,-16.31095,5.73579,105.571231,5.51769,-1.42666,1.71988,-1.63066
10005119,9/20/2024,1,1,1,53,FourSeamFastBall,90.54565,89.03973875,1.614153519,2076.538956,6.2691,-15.84158,11.75383,124.059968,5.67394,-1.3018,2.81561,-0.93344
10005119,10/4/2024,1,1,1,71,FourSeamFastBall,86.87946,89.03973875,-2.052036481,2048.502906,6.3646,-11.63001,14.78221,139.218953,5.81498,-1.31711,2.05234,0.35735
10005119,10/11/2024,1,1,1,32,FourSeamFastBall,85.56021,89.03973875,-3.371286481,2132.049801,6.66601,-19.40218,14.99666,124.981397,5.85422,-1.30371,1.12153,0.20467
1000309668,10/20/2024,1,1,1,3,FourSeamFastBall,93.65679,89.03973875,3.996793889,2294.071142,6.96442,10.68898,15.35713,216.625237,5.72001,1.52272,1.45378,-0.65301
10005119,10/20/2024,1,1,1,121,FourSeamFastBall,82.87923,89.03973875,-6.052266481,1769.284044,6.84926,-13.98253,15.34749,134.977992,5.76534,-1.23923,0.91962,-0.63297
1000213387,10/27/2024,1,1,1,354,FourSeamFastBall,93.3485,89.03973875,5.846468105,2336.304456,6.81466,14.50717,15.32324,225.788999,4.75572,1.69435,4.10762,-2.30644
10005119,10/27/2024,1,1,1,188,FourSeamFastBall,93.4898,89.03973875,4.558303519,2010.356994,6.53896,-16.55257,14.698,129.474971,5.81132,-1.21185,2.919,-0.15641
1000309668,10/27/2024,1,1,1,11,FourSeamFastBall,90.46263,89.03973875,0.802633889,2222.435496,6.73597,10.56316,11.54426,225.470975,5.69604,1.71682,4.60082,0.14016
10005119,11/1/2024,1,1,1,189,FourSeamFastBall,90.82844,89.03973875,1.896943519,1908.196832,6.34338,-16.85812,12.67843,124.821325,5.92614,-1.17161,3.94475,-1.2899
1000392568,1/26/2025,1,1,1,162,FourSeamFastBall,87.84818,89.03973875,-0.29624549,2155.655,6.85397,5.54331,19.14714,197.272271,5.96324,1.33234,3.84432,-1.33711
1000100911,3/14/2025,1,1,1,239,FourSeamFastBall,87.51117,89.03973875,0.210741787,2215.442873,6.51765,9.73079,20.51556,206.893005,5.73835,1.61977,3.24854,-0.60534
1000259684,4/15/2025,1,1,1,303,FourSeamFastBall,89.81601,89.03973875,1.62587691,2234.183819,6.12461,10.44453,24.37297,24.37297,6.1252,1.3296,0,0
826147,4/15/2025,1,1,1,166,FourSeamFastBall,87.40184,89.03973875,-1.470082738,2098.27193,7.06759,10.40556,17.29481,17.29481,4.84266,1.61097,0,0
1000098287,4/22/2025,1,1,1,201,FourSeamFastBall,87.34226,89.03973875,-1.53898125,2396.47057,5.86114,18.22529,8.64056,247.954788,5.07798,1.60601,2.7548,0.2805
1000392568,5/15/2025,1,1,1,349,FourSeamFastBall,88.49627,89.03973875,0.35184451,2764.090451,5.87221,12.45638,18.27166,216.162309,5.68065,1.92305,0.79349,-1.77792
1000309668,9/27/2024,2,4,8,107,FourSeamFastBall,91.19804,89.48258545,1.538043889,2233.009019,6.40402,12.5282,15.00552,221.754699,5.7672,1.74915,2.74123,-0.58349
10005119,10/4/2024,2,4,8,90,FourSeamFastBall,88.43917,89.48258545,-0.492326481,1942.167971,6.40911,-15.42052,12.82308,126.946651,5.97918,-1.21089,3.34968,-1.676
1000125040,10/6/2024,2,4,8,22,FourSeamFastBall,88.14851,89.48258545,1.837318182,1981.748626,6.25807,-15.5415,11.28221,122.661462,4.99593,-4.04558,4.00233,-0.33502
10005119,10/11/2024,2,4,8,37,FourSeamFastBall,87.33742,89.48258545,-1.594076481,2214.415572,6.67784,-18.18903,14.85847,126.735284,5.81614,-1.20059,2.84939,-0.52928
1000309668,10/20/2024,2,4,8,6,FourSeamFastBall,91.5789,89.48258545,1.918903889,2128.997441,6.7722,12.50162,15.68312,220.571465,5.62011,1.75925,5.55051,2.12449
10005119,10/20/2024,2,4,8,116,FourSeamFastBall,90.05494,89.48258545,1.123443519,2083.538273,6.36111,-14.94981,13.75513,129.869459,5.92053,-1.20484,2.55588,-0.79692
1000125042,10/25/2024,2,4,8,41,FourSeamFastBall,87.42796,89.48258545,-0.764809524,2216.77625,6.35843,9.7669,10.54386,226.188274,5.34242,2.10919,2.86631,0.85324
1000100911,10/25/2024,2,4,8,1,FourSeamFastBall,86.73373,89.48258545,-0.566698213,2070.478497,6.19312,12.24623,19.38355,214.036289,5.73174,1.99481,2.12203,-0.24128
