Player,PTS,USG,MP,USG*MP
Shai Gilgeous-Alexander,2484,34.8,2598,90410
Anthony Edwards,2177,31.4,2871,90149
Nikola Jokic,2071,29.5,2571,75845
Giannis Antetokounmpo,2036,35.2,2289,80573
Jayson Tatum,1932,31.2,2624,81869
Devin Booker,1923,29.3,2795,81894
Trae Young,1841,29.6,2739,81074
Tyler Herro,1840,28,2725,76300
Cade Cunningham,1830,33.2,2452,81406
James Harden,1802,29.6,2789,82554
Karl-Anthony Towns,1759,27.4,2517,68966
Zach LaVine,1724,25.3,2602,65831
Jalen Green,1723,27.3,2697,73628
Stephen Curry,1718,29.8,2252,67110
LeBron James,1710,30.1,2444,73564
DeMar DeRozan,1710,25,2768,69200
Donovan Mitchell,1701,30.9,2232,68969
Jalen Brunson,1690,29.5,2301,67880
Kevin Durant,1647,28.7,2265,65006
Jaren Jackson Jr.,1641,28.1,2207,62017
Pascal Siakam,1578,24.2,2548,61662
Darius Garland,1544,27.2,2301,62587
Coby White,1509,24.4,2450,59780
Jalen Williams,1490,27.5,2237,61518
Austin Reaves,1475,23.7,2550,60435
De'Aaron Fox,1459,28.3,2241,63420
Alperen Seng�n,1451,26.2,2395,62749
Franz Wagner,1449,31,2023,62713
Damian Lillard,1447,27.8,2093,58185
Mikal Bridges,1444,19.6,3036,59506
Jamal Murray,1436,24,2418,58032
Bam Adebayo,1410,23.5,2674,62839
Luka Doncic,1408,33.9,1769,59969
Jaylen Brown,1398,28.9,2158,62366
Michael Porter Jr.,1398,20.2,2593,52379
Jordan Poole,1391,29,2001,58029
Tyrese Maxey,1369,29.8,1960,58408
Tyrese Haliburton,1359,21.6,2451,52942
Nikola Vucevic,1349,22.4,2278,51027
Anfernee Simons,1348,24.6,2292,56383
Ivica Zubac,1340,19.5,2624,51168
Domantas Sabonis,1337,21.6,2429,52466
Malik Beasley,1336,22.5,2283,51368
Shaedon Sharpe,1335,25.1,2252,56525
OG Anunoby,1332,19.7,2706,53308
Desmond Bane,1327,23.3,2205,51377
Evan Mobley,1316,23.2,2167,50274
Norman Powell,1306,26.1,1958,51104
Miles Bridges,1300,28,2029,56812
Julius Randle,1288,25,2226,55650
Anthony Davis,1261,30.4,1706,51862
Scottie Barnes,1252,27,2134,57618
Derrick White,1248,19.8,2574,50965
Kyrie Irving,1234,27.4,1804,49430
RJ Barrett,1223,28.7,1869,53640
Deni Avdija,1219,23.2,2161,50135
Christian Braun,1218,15.8,2675,42265
Paolo Banchero,1191,33.6,1582,53155
Stephon Castle,1190,26,2162,56212
LaMelo Ball,1184,35.9,1505,54030
CJ McCollum,1183,27.2,1832,49830
Ja Morant,1159,32.2,1519,48912
Collin Sexton,1159,27,1758,47466
Bennedict Mathurin,1156,22.8,2149,48997
Payton Pritchard,1144,19,2271,43149
Naz Reid,1138,21.5,2200,47300
Keyonte George,1125,24.3,2109,51249
Trey Murphy III,1124,23.7,1854,43940
Myles Turner,1120,20.7,2174,45002
Malik Monk,1117,24.6,2054,50528
Victor Wembanyama,1116,30.4,1527,46421
Jarrett Allen,1103,15.9,2296,36506
Quentin Grimes,1092,22.8,2013,45896
De'Andre Hunter,1088,22.8,1740,39672
Andrew Wiggins,1078,24.5,1842,45129
Dyson Daniels,1073,18.2,2571,46792
Cameron Johnson,1070,22.9,1800,41220
Dillon Brooks,1053,17.7,2388,42268
Josh Hart,1051,15.3,2897,44324
Brook Lopez,1041,15.8,2546,40227
Devin Vassell,1041,22.1,1983,43824
Josh Giddey,1022,21.7,2117,45939
Harrison Barnes,1011,15.7,2230,35011
Klay Thompson,1005,21.8,1965,42837
Tobias Harris,1002,17.6,2305,40568
Jaden McDaniels,1000,16.3,2614,42608
Russell Westbrook,994,23.8,2092,49790
Onyeka Okongwu,988,17.3,2064,35707
Dennis Schr�der,980,21.6,2105,45468
Keldon Johnson,979,21.6,1838,39701
Amen Thompson,970,17.5,2225,38938
Kyle Kuzma,964,24,1936,46464
Jimmy Butler,964,20.8,1746,36317
Keegan Murray,942,15,2610,39150
Zaccharie Risacher,942,20.9,1843,38519
Jalen Duren,918,16.4,2034,33358
Naji Marshall,914,20,1919,38380
Aaron Wiggins,914,20.3,1744,35403
Buddy Hield,912,20.5,1863,38192
