Athlete ID,Height (in),Weight,Weight^2,SH
0001,73,209,43681,4.1
0002,73,230,52900,4.1
0003,72.5,166.8,27822.24,4.12
0004,68.5,170.4,29036.16,4.13
0005,70,174.4,30415.36,4.14
0006,73.25,225.86,51012.74,4.14
0007,72.75,177,31329,4.15
0008,68.75,187,34969,4.19
0009,67.75,144,20736,4.19
0010,67.5,224,50176,4.19
0011,74.5,185.6,34447.36,4.21
0012,72,205.2,42107.04,4.21
0013,71.25,169.8,28832.04,4.23
0014,69.75,164.52,27066.83,4.24
0015,67.75,156,24336,4.25
0016,71.25,163.2,26634.24,4.25
0017,73.25,203,41209,4.25
0018,67.25,143.6,20620.96,4.26
0019,72.25,180.2,32472.04,4.26
0020,70.5,164.8,27159.04,4.26
0021,70.25,184.6,34077.16,4.27
0022,69,164.23,26971.49,4.27
0023,66.25,175,30625,4.28
0024,66.5,167.6,28089.76,4.28
0025,68.5,176.8,31258.24,4.28
0026,67.75,145.85,21272.22,4.28
0027,71.25,157.6,24837.76,4.28
0028,73.75,174.6,30485.16,4.28
0029,69.75,153.83,23663.67,4.28
0030,71.25,153,23409,4.29
0031,67.75,163,26569,4.3
0032,70,200,40000,4.3
0033,66.75,150,22500,4.31
0034,69.5,168,28224,4.31
0035,69.75,166.2,27622.44,4.31
0036,73.5,180.2,32472.04,4.31
0037,72,197.4,38966.76,4.31
0038,70,153.4,23531.56,4.31
0039,72,185.4,34373.16,4.31
0040,69.25,151.4,22921.96,4.32
0041,69,154.82,23969.23,4.32
0042,69,189.4,35872.36,4.32
0043,68,178.4,31826.56,4.32
0044,69,157.25,24727.56,4.32
0045,65.75,134.4,18063.36,4.32
0046,72.5,164.81,27162.34,4.32
0047,68,167.5,28056.25,4.33
0048,67.25,160,25600,4.33
0049,71.5,158,24964,4.33
0050,71.5,187.6,35193.76,4.33
0051,68.75,214.8,46139.04,4.33
0052,72,167.6,28089.76,4.33
0053,68.75,156,24336,4.33
0054,68.5,203.1,41249.61,4.34
0055,71,170,28900,4.34
0056,72.25,178.4,31826.56,4.34
0057,69,163.8,26830.44,4.34
0058,71.5,182.8,33415.84,4.35
0059,70.25,174,30276,4.35
0060,70.5,189.2,35796.64,4.35
0061,73,176.6,31187.56,4.35
0062,73,179,32041,4.36
0063,72,177.4,31470.76,4.37
0064,71.25,172.2,29652.84,4.37
0065,68,173,29929,4.37
0066,69,178.2,31755.24,4.37
0067,70.75,182.4,33269.76,4.37
0068,71.5,223,49729,4.37
0069,70.75,171,29241,4.38
0070,71.5,157.4,24774.76,4.38
0071,63.75,146.2,21374.44,4.38
0072,75.5,184.6,34077.16,4.38
0073,68.75,157.2,24711.84,4.38
0074,68.5,168.2,28291.24,4.38
0075,65.75,145,21025,4.38
0076,70.5,180.8,32688.64,4.38
0077,66.25,133.46,17811.57,4.38
0078,68.25,179,32041,4.38
0079,71.25,146,21316,4.38
0080,71,171,29241,4.38
0081,70,189,35721,4.39
0082,67.75,147.42,21732.66,4.39
0083,66.5,130.6,17056.36,4.39
0084,72,180.6,32616.36,4.39
0085,69,189.4,35872.36,4.39
0086,73.5,194,37636,4.39
0087,72.25,178,31684,4.39
0088,68.75,140.6,19768.36,4.39
0089,69.5,155.6,24211.36,4.4
0090,69.75,170.4,29036.16,4.4
0091,72.75,188.6,35569.96,4.4
0092,65.5,154.6,23901.16,4.4
0093,69.75,162,26244,4.4
0094,71.25,167.85,28173.62,4.4
0095,67.5,161,25921,4.4
0096,66,152.82,23353.95,4.4
0097,69.75,177.6,31541.76,4.4
0098,71.75,177,31329,4.4
0099,65,148,21904,4.4
0100,68.5,147.2,21667.84,4.4
0101,70.75,152.4,23225.76,4.4
0102,70.5,172,29584,4.4
0103,73.5,205.4,42189.16,4.4
0104,72.25,158.4,25090.56,4.4
0105,70,169.45,28713.3,4.4
0106,71.5,161.8,26179.24,4.4
0107,71,173,29929,4.4
0108,66.25,144.6,20909.16,4.4
0109,69.75,148.9,22171.21,4.4
0110,74,185.12,34269.41,4.4
0111,70.75,162.4,26373.76,4.41
0112,71,198,39204,4.41
0113,68.5,172.2,29652.84,4.41
0114,74,188.4,35494.56,4.41
0115,70,165.6,27423.36,4.41
0116,70,156,24336,4.41
0117,71.5,186.2,34670.44,4.41
0118,70.5,181.4,32905.96,4.41
0119,72.25,176,30976,4.42
0120,67.75,190,36100,4.43
0121,68.25,167.8,28156.84,4.43
0122,73,175.4,30765.16,4.43
0123,71,172.53,29766.6,4.43
0124,70.5,172,29584,4.43
0125,75.5,223,49729,4.43
0126,69.75,185.6,34447.36,4.44
0127,68,170.31,29005.5,4.44
0128,68,175.4,30765.16,4.44
0129,74.75,183,33489,4.44
0130,71.5,167.4,28022.76,4.44
0131,68,138.4,19154.56,4.44
0132,69.25,154.2,23777.64,4.44
0133,70,176.12,31018.25,4.44
0134,74,219.07,47991.66,4.44
0135,64,135.8,18441.64,4.44
0136,68.25,175.4,30765.16,4.44
0137,72.75,191,36481,4.44
0138,72.75,176.2,31046.44,4.44
0139,72,210,44100,4.44
0140,70.75,172,29584,4.44
0141,70.25,183.8,33782.44,4.44
0142,72.25,191,36481,4.44
0143,66.5,158,24964,4.44
0144,70.75,144,20736,4.44
0145,68.75,161.6,26114.56,4.45
0146,74,184.97,34213.9,4.45
0147,71.25,188,35344,4.45
0148,71,202,40804,4.45
0149,68.5,168.4,28358.56,4.45
0150,72.75,185.4,34373.16,4.45
0151,67.5,133.31,17771.56,4.45
0152,67.25,150,22500,4.45
0153,68,168.4,28358.56,4.46
0154,69.25,188.2,35419.24,4.46
0155,67.75,142.2,20220.84,4.46
0156,70.25,197.6,39045.76,4.46
0157,72.25,211.1,44563.21,4.46
0158,71.75,182,33124,4.46
0159,72.5,199.2,39680.64,4.46
0160,75.25,169.6,28764.16,4.46
0161,67.75,171.2,29309.44,4.46
0162,72.5,192,36864,4.47
0163,68.75,168.6,28425.96,4.47
0164,68.75,158,24964,4.47
0165,68.25,125,15625,4.47
0166,67.5,140.4,19712.16,4.47
0167,69,161.6,26114.56,4.47
0168,69.5,148.4,22022.56,4.47
0169,70.5,187.4,35118.76,4.47
0170,65.25,143.2,20506.24,4.47
0171,67.5,146.4,21432.96,4.47
0172,69,184.4,34003.36,4.47
0173,76.75,162,26244,4.47
0174,74.5,184.6,34077.16,4.47
0175,75.75,198.8,39521.44,4.47
0176,71.5,174,30276,4.47
0177,72.5,187,34969,4.47
0178,69.5,163.8,26830.44,4.47
0179,70.5,176.6,31187.56,4.47
0180,70.75,195.4,38181.16,4.47
0181,70,192.6,37094.76,4.47
0182,70.75,165.2,27291.04,4.48
0183,72.25,166,27556,4.48
0184,73.25,237.4,56358.76,4.48
0185,67.75,165.33,27334.01,4.48
0186,69,178,31684,4.48
0187,73,194,37636,4.48
0188,72.25,236,55696,4.48
0189,65.75,142.4,20277.76,4.49
0190,73.5,200.8,40320.64,4.49
0191,71.25,168,28224,4.49
0192,73,181.2,32833.44,4.49
0193,72.25,206,42436,4.49
0194,64.5,132.25,17490.06,4.49
0195,70,214.94,46199.2,4.49
0196,73.25,181,32761,4.5
0197,66.25,176.2,31046.44,4.5
0198,69.75,171.6,29446.56,4.5
0199,65.25,146.4,21432.96,4.5
0200,71.25,169.4,28696.36,4.5
0201,73,189,35721,4.5
0202,69.5,155.8,24273.64,4.5
0203,65,158.8,25217.44,4.5
0204,70.25,162,26244,4.5
0205,70.75,154,23716,4.5
0206,68.5,153.4,23531.56,4.5
0207,69.25,162.4,26373.76,4.5
0208,68.5,167.4,28022.76,4.5
0209,66.25,151.6,22982.56,4.5
0210,71.25,174.8,30555.04,4.5
0211,72.75,183.4,33635.56,4.5
0212,72.75,203,41209,4.5
0213,66.75,174.4,30415.36,4.5
0214,69.5,169.8,28832.04,4.5
0215,63.25,123,15129,4.5
0216,67.5,156.8,24586.24,4.5
0217,69.25,181,32761,4.5
0218,72.25,148.6,22081.96,4.5
0219,73.75,172.26,29673.51,4.5
0220,70,177.23,31410.47,4.5
0221,71.5,179.3,32148.49,4.5
0222,73,185.2,34299.04,4.5
0223,66.25,147,21609,4.5
0224,66.5,166.2,27622.44,4.5
0225,66,168.6,28425.96,4.5
0226,71.5,179,32041,4.5
0227,74,167.8,28156.84,4.5
0228,66,157.8,24900.84,4.5
0229,69,213,45369,4.5
0230,70.25,180.27,32497.27,4.5
0231,70.75,145.2,21083.04,4.5
0232,71,188.2,35419.24,4.5
0233,69.25,178.8,31969.44,4.51
0234,70,153.8,23654.44,4.51
0235,72.25,163.2,26634.24,4.51
0236,71.5,197.4,38966.76,4.51
0237,72,180,32400,4.51
0238,71.25,169,28561,4.51
0239,71.5,189.2,35796.64,4.51
0240,68.25,156.52,24498.51,4.51
0241,72.25,169.4,28696.36,4.52
0242,71,187.6,35193.76,4.52
0243,69,174.8,30555.04,4.52
0244,70.5,191.2,36557.44,4.52
0245,71.75,146,21316,4.52
0246,69,154.6,23901.16,4.52
0247,72.75,163.75,26814.06,4.52
0248,68.25,138.4,19154.56,4.52
0249,74.25,183,33489,4.52
0250,68.75,202,40804,4.52
0251,73.25,196.82,38738.11,4.53
0252,66.5,196.98,38801.12,4.53
0253,67.25,150.2,22560.04,4.53
0254,69.5,168.6,28425.96,4.53
0255,69.25,187.82,35276.35,4.53
0256,73.25,177,31329,4.53
0257,67.5,148.6,22081.96,4.53
0258,76,186,34596,4.53
0259,70.5,173.2,29998.24,4.53
0260,74,189,35721,4.53
0261,75.5,200.6,40240.36,4.53
0262,69.5,161.89,26208.37,4.53
0263,69.5,174.6,30485.16,4.53
0264,72.5,182.4,33269.76,4.53
0265,70.75,164,26896,4.53
0266,68,148.6,22081.96,4.53
0267,74,215.6,46483.36,4.53
0268,69.5,160.2,25664.04,4.53
0269,71.75,185,34225,4.53
0270,66.75,179.4,32184.36,4.53
0271,70,187.4,35118.76,4.53
0272,74,173,29929,4.53
0273,67.75,142.65,20349.02,4.53
0274,71.5,173.4,30067.56,4.53
0275,72.25,186,34596,4.53
0276,68.5,155,24025,4.53
0277,67,161,25921,4.53
0278,65.75,180.2,32472.04,4.53
0279,68.25,151,22801,4.53
0280,71.75,202.4,40965.76,4.53
0281,68.25,189.8,36024.04,4.53
0282,72,181.6,32978.56,4.53
0283,68.5,163.2,26634.24,4.54
0284,74,205,42025,4.54
0285,68,177.4,31470.76,4.54
0286,69.5,191.6,36710.56,4.54
0287,67.25,158,24964,4.54
0288,71,186,34596,4.55
0289,72,166.2,27622.44,4.55
0290,70.5,158,24964,4.55
0291,70,160.2,25664.04,4.55
0292,69,157,24649,4.55
0293,76,231.8,53731.24,4.55
0294,65.25,126,15876,4.55
0295,67,175,30625,4.55
0296,72.25,167,27889,4.55
0297,68,153,23409,4.56
0298,64.5,148,21904,4.56
0299,74.5,182.95,33470.7,4.56
0300,68,155,24025,4.56
0301,70.75,173.2,29998.24,4.56
0302,63.75,154.8,23963.04,4.56
0303,67.75,150.2,22560.04,4.56
0304,70,184.4,34003.36,4.56
0305,69.5,154.74,23944.47,4.56
0306,68.5,165.2,27291.04,4.56
0307,70,192.35,36998.52,4.56
0308,72.5,184.6,34077.16,4.56
0309,72.75,205,42025,4.56
0310,70.5,164.2,26961.64,4.56
0311,72,248.2,61603.24,4.56
0312,72.5,191,36481,4.56
0313,70.25,180,32400,4.56
0314,70.5,197.6,39045.76,4.56
0315,72.25,169.6,28764.16,4.56
0316,70.25,160,25600,4.56
0317,66,142.6,20334.76,4.56
0318,73,205.8,42353.64,4.56
0319,68.25,150,22500,4.56
0320,76,182.2,33196.84,4.56
0321,74.25,215.6,46483.36,4.56
0322,73.5,167.8,28156.84,4.57
0323,70.25,165,27225,4.57
0324,70.5,155.44,24161.59,4.57
0325,76,202,40804,4.57
0326,68,154.6,23901.16,4.57
0327,71.25,164.39,27024.07,4.57
0328,71,178.2,31755.24,4.57
0329,71.75,161.02,25927.44,4.57
0330,67.5,154.6,23901.16,4.57
0331,75,171.2,29309.44,4.57
0332,70.75,164.39,27024.07,4.57
0333,79,202.4,40965.76,4.57
0334,72,144.2,20793.64,4.57
0335,70,180,32400,4.57
0336,72,189,35721,4.57
0337,67,139.4,19432.36,4.57
0338,69.5,178,31684,4.57
0339,73.75,189.4,35872.36,4.57
0340,67,180,32400,4.57
0341,67,138.4,19154.56,4.57
0342,68.5,198.72,39489.64,4.57
0343,72.5,212,44944,4.57
0344,71,173,29929,4.58
0345,69.5,188,35344,4.58
0346,64.75,119.6,14304.16,4.58
0347,70,196.8,38730.24,4.58
0348,69.25,192,36864,4.58
0349,71.5,180.4,32544.16,4.58
0350,71.5,191,36481,4.58
0351,72,220.72,48717.32,4.58
0352,68.5,180.4,32544.16,4.58
0353,72.5,158.4,25090.56,4.58
0354,70.5,202,40804,4.58
0355,69,181.8,33051.24,4.58
0356,73.25,243.2,59146.24,4.58
0357,72,195.6,38259.36,4.58
0358,75,178.26,31776.63,4.58
0359,69.5,175.4,30765.16,4.58
0360,70.25,191,36481,4.58
0361,65,146,21316,4.58
